일시,예상_재산피해규모(백만원)
2010-07-05,12.253830501067256
2010-07-06,12.253830501067256
2010-07-07,12.454621849504024
2010-07-08,12.253830501067256
2010-07-09,12.733230768997522
2010-07-10,295.6875446821534
2010-07-11,111.3124329594367
2010-07-12,122.23572438266505
2010-07-13,484.63387717168257
2010-07-14,133.0673717386936
2010-07-15,17.487607279316634
2010-07-16,94.93269850522847
2010-07-17,16.710601320224892
2010-07-18,17.327034912039178
2010-07-19,16.68109465086963
2010-07-20,20.409267557725425
2010-07-21,15.201554038830583
2010-07-22,17.725100955742718
2010-07-23,16.460361127723083
2010-07-24,119.739170338641
2010-07-25,25.654630471163003
2010-07-26,16.460361127723083
2010-07-27,1002.1294044750417
2010-07-28,813.920837226764
2010-07-29,27.710249803275914
2010-07-30,17.725100955742718
2010-07-31,17.725100955742718
